entry_id,paper_id,doi
0,https://openalex.org/W2171347833,https://doi.org/10.1002/chin.200101015
1,https://openalex.org/W2013866881,https://doi.org/10.1126/science.178.4065.1113
2,https://openalex.org/W2742071918,https://doi.org/10.1371/journal.pone.0180435
3,https://openalex.org/W2915934899,https://doi.org/10.1039/c8nj06267f
4,https://openalex.org/W2316026750,https://doi.org/10.1159/000444149
5,https://openalex.org/W3175438020,https://doi.org/10.54530/jcmc.399
6,https://openalex.org/W2076775257,https://doi.org/10.1080/10420150211400
7,https://openalex.org/W2329485124,https://doi.org/10.2118/175064-ms
8,https://openalex.org/W899466010,
9,https://openalex.org/W2603194473,https://doi.org/10.1002/ajh.24740
10,https://openalex.org/W4403753768,https://doi.org/10.3791/67236
11,https://openalex.org/W4401862775,https://doi.org/10.1016/j.compbiomed.2024.109061
12,https://openalex.org/W2793168168,https://doi.org/10.3390/app8030372
13,https://openalex.org/W2979834153,https://doi.org/10.1182/blood.v128.22.2859.2859
14,https://openalex.org/W2394922553,https://doi.org/10.1681/asn.v85706
15,https://openalex.org/W2068508310,https://doi.org/10.4028/www.scientific.net/amr.243-249.1483
16,https://openalex.org/W2001450875,https://doi.org/10.1097/bot.0b013e3181b01dce
17,https://openalex.org/W2019358602,https://doi.org/10.1111/j.1749-6632.1977.tb19333.x
18,https://openalex.org/W2325887297,
19,https://openalex.org/W4401048106,https://doi.org/10.14419/ijet.v7i4.28.22607
20,https://openalex.org/W1490187857,https://doi.org/10.1016/s0308-5961(98)00054-8
21,https://openalex.org/W2425943490,
22,https://openalex.org/W2031956893,https://doi.org/10.1210/endo-127-2-555
23,https://openalex.org/W2351089173,
24,https://openalex.org/W2323361082,https://doi.org/10.1103/physrevc.66.054603
25,https://openalex.org/W1459779121,https://doi.org/10.2320/matertrans.43.1439
26,https://openalex.org/W2978741911,
27,https://openalex.org/W2334029858,https://doi.org/10.5802/aif.2774
28,https://openalex.org/W2062118668,https://doi.org/10.1139/w05-030
29,https://openalex.org/W2084875068,https://doi.org/10.1089/cpb.2007.9932
30,https://openalex.org/W2320068467,https://doi.org/10.2514/6.2010-291
31,https://openalex.org/W3174891819,https://doi.org/10.1002/hyp.14288
32,https://openalex.org/W2136364651,https://doi.org/10.1200/jco.2008.26.15_suppl.3007
33,https://openalex.org/W4396510530,https://doi.org/10.3390/app14093808
34,https://openalex.org/W1974368790,https://doi.org/10.1109/nmdc.2011.6155305
35,https://openalex.org/W2550059140,https://doi.org/10.1128/genomea.00889-16
36,https://openalex.org/W2030378875,https://doi.org/10.1063/1.3591910
37,https://openalex.org/W1546777811,https://doi.org/10.1109/memsys.2003.1189801
38,https://openalex.org/W2356362775,
39,https://openalex.org/W4353055391,https://doi.org/10.3138/cjpe.75444
40,https://openalex.org/W1971498735,https://doi.org/10.1088/0741-3335/46/4/002
41,https://openalex.org/W1509045375,https://doi.org/10.3138/cmlr.41.6.1000
42,https://openalex.org/W2791313856,
43,https://openalex.org/W2565703423,https://doi.org/10.4103/2356-9115.195882
44,https://openalex.org/W3126006076,
45,https://openalex.org/W2524697856,
46,https://openalex.org/W3201548439,https://doi.org/10.1155/s1073792802107082
47,https://openalex.org/W2908207208,https://doi.org/10.1002/iub.1989
48,https://openalex.org/W4308735993,https://doi.org/10.1021/acsfoodscitech.2c00251
49,https://openalex.org/W3097170523,https://doi.org/10.3847/1538-4357/abb677
50,https://openalex.org/W2286828229,
51,https://openalex.org/W1980491499,https://doi.org/10.5322/jes.2011.20.10.1243
52,https://openalex.org/W2947991145,https://doi.org/10.1021/acsbiomaterials.9b00217
53,https://openalex.org/W3175113239,https://doi.org/10.5070/t713153439
54,https://openalex.org/W2728420507,https://doi.org/10.1123/ijsnem.2017-0144
55,https://openalex.org/W2292669995,https://doi.org/10.5555/2888619.2889075
56,https://openalex.org/W4285223237,https://doi.org/10.4236/jct.2022.135022
57,https://openalex.org/W4401890587,https://doi.org/10.7759/cureus.67816
58,https://openalex.org/W2170185915,https://doi.org/10.1002/biof.552210113
59,https://openalex.org/W4288972361,https://doi.org/10.1353/cpr.2022.0039
60,https://openalex.org/W2101999971,https://doi.org/10.1590/s1517-83822004000200003
61,https://openalex.org/W2401872800,https://doi.org/10.1080/08853134.1990.10753811
62,https://openalex.org/W2004126654,https://doi.org/10.1021/la971010p
63,https://openalex.org/W1588652812,
64,https://openalex.org/W2014657724,https://doi.org/10.1128/jvi.79.13.8470-8479.2005
65,https://openalex.org/W2391367943,
66,https://openalex.org/W1492768223,https://doi.org/10.1096/fasebj.28.1_supplement.997.3
